Validation Result: FAILURE

Level,Path,Validation Type,Message
ERROR,/Data File Creator/Creator Type,DATA_TYPE_VALIDATION,"""rdfs:label"" is expected for controlled terms field"
ERROR,/Data File Parent Study/Study Local Identifier,REQUIREMENT_VALIDATION,The field is required but got null
ERROR,/Data File Title/Title Language,DATA_TYPE_VALIDATION,"""rdfs:label"" is expected for controlled terms field"
WARNING,"""""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, bibo:status, multiValued, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Auxiliary Metadata""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, bibo:status, multiValued, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Auxiliary Metadata/properties/Additional Commentary/items""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Auxiliary Metadata/properties/Data File Descriptive Attribute/items""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, bibo:status, multiValued, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data Characteristics Summary""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, bibo:status, multiValued, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data Characteristics Summary/properties/Data Characteristics Table in CSV""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data Characteristics Summary/properties/Data Characteristics Table in HTML""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data Characteristics Summary/properties/Data Characteristics Table in Key-Value Pairs/items""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, bibo:status, multiValued, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Contributor/items""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, bibo:status, multiValued, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Contributor/items/properties/Contributor Affiliation Identifier Scheme Identifier""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Contributor/items/properties/Contributor Affiliation Identifier Scheme""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Contributor/items/properties/Contributor Affiliation Identifier""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Contributor/items/properties/Contributor Affiliation""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
